borrow thread, thoroughbred
smolding fartphone, folding smartphone
Rindercella, Cinderella
frake your minge, make your fringe
cupid stunt, stupid cunt
Dick says, sick days
Happy Dump Hay, Happy Hump Day
bot sex, box set
verona cyrus, corona virus
kit shop, shit cop
wealth and hellbeing, health and wellbeing
boiled sprat, spoiled brat
sand hanitizer, hand sanitizer
blost pog, blog post
master of puppets, pastor of muppets
oxfessor at proford, professor at oxford
joris bohnson, boris johnson
wilky may, milky way
cop porn, pop corn
roomer than warm temperature, warmer than room temperature
Don\'t pet the sweaty things, don\'t sweat the petty things
spork patchings, pork scratchings
